,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Veterans Party of America,Unaffiliated,American Delta,Independent American,Independent People of Colorado,American Solidarity,Nutrition,Unaffiliated,America's Party,Socialism/Liberation,Socialist Workers,Kotlikoff for President,Nonviolent Resistance/Pacifist,Approval Voting,Socialist Party USA,Prohibition,Republican,Unaffiliated/Republican,Unaffiliated,Green/Democratic,Unaffiliated,Unaffiliated/Libertarian,Total Votes Cast,Total Ballots Cast
State,Colorado,1338870,1202484,144121,38437,28917,11699,5028,1819,1255,1096,872,862,751,749,710,531,452,392,382,337,271,185,11,6,4,3,2,1,2780247,2780247
County,Adams,96558,80082,9893,2703,1812,993,593,155,139,145,121,51,71,73,69,64,42,17,31,23,11,19,3,4,2,2,1,0,193677,193677
Precinct,4253001245,63,259,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,335
Precinct,4255601241,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
Precinct,4255601246,187,663,41,9,4,6,9,2,2,3,1,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,933,933
Precinct,4255601247,148,630,25,8,10,2,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,830
Precinct,4255601248,320,1212,86,15,20,8,3,3,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1675,1675
Precinct,4255601249,46,240,3,2,6,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,304,304
Precinct,6243101150,606,559,77,12,17,6,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,1285
Precinct,6243101151,504,590,71,14,8,5,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,1197
Precinct,6243101159,435,523,59,10,16,8,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,1057
Precinct,6243401075,685,776,57,14,20,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,1560
Precinct,6243401076,486,459,62,8,13,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,1035
Precinct,6243401077,263,288,35,3,12,4,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,614,614
Precinct,6245601071,292,336,53,4,14,2,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,707,707
Precinct,6245601072,78,131,8,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,223
Precinct,6245601073,416,513,47,6,20,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,1009
Precinct,6245601074,367,469,42,10,23,5,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,922,922
Precinct,6245601160,94,194,7,3,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,306
Precinct,6253001152,426,414,61,7,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,921
Precinct,6253001153,258,324,35,4,9,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,637,637
Precinct,6253001154,13,26,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43
Precinct,6253001155,132,128,29,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,302
Precinct,6253001156,113,147,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,274
Precinct,6253001157,358,341,39,6,14,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,764
Precinct,6253001226,59,110,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180
Precinct,6253001229,813,199,44,38,5,3,2,3,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1114,1114
Precinct,6253001230,707,199,44,19,6,11,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,994
Precinct,6253001231,699,200,37,23,10,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,974,974
Precinct,6253001232,866,270,47,24,11,3,4,1,2,1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1236,1236
Precinct,6253001233,675,250,33,20,6,11,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1004,1004
Precinct,6253001234,506,248,40,9,4,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,815,815
Precinct,6253001235,359,131,12,3,3,3,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,517,517
Precinct,6253001236,553,298,36,7,2,7,2,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,911,911
Precinct,6253001237,482,183,30,10,0,3,6,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,719,719
Precinct,6253001238,478,320,59,13,9,5,1,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,892,892
Precinct,6253001239,446,309,27,13,9,4,5,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,817,817
Precinct,6253001240,770,305,49,15,7,3,1,0,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1158,1158
Precinct,6253001242,84,251,20,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,368
Precinct,6253001243,174,519,29,0,9,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,739
Precinct,6253101158,313,324,42,10,11,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,707
Precinct,6255601161,32,81,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122
Precinct,6255601162,262,527,28,2,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,830
Precinct,6255601163,104,220,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338
Precinct,6255601164,118,240,17,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,380
Precinct,6255601165,406,573,29,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,1018
Precinct,6255601166,117,256,18,2,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,404
Precinct,6255601167,170,302,16,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,496
Precinct,6255601168,118,144,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275
Precinct,6255601169,119,271,24,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,422,422
Precinct,6255601170,551,370,53,19,6,8,5,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1020,1020
Precinct,6255601171,540,466,74,13,8,8,1,2,6,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1125,1125
Precinct,6255601172,96,94,7,2,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,206,206
Precinct,6255601173,25,51,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82
Precinct,6255601174,113,222,16,4,2,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,364,364
Precinct,6255601175,368,558,54,12,12,6,2,6,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1022,1022
Precinct,6255601176,120,264,30,2,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,425
Precinct,6255601177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct,6255601178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct,6255601179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct,6255601180,271,424,43,5,18,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,767,767
Precinct,6255601181,425,506,89,15,17,7,5,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1069,1069
Precinct,6255601182,222,265,27,5,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532,532
Precinct,6255601183,72,121,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211
Precinct,6255601184,80,145,8,4,2,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,248
Precinct,6255601185,159,273,19,3,4,2,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,469,469
Precinct,6255601186,410,518,44,10,11,4,5,0,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1009,1009
Precinct,6255601187,404,419,52,5,8,5,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,900,900
Precinct,6255601188,233,395,29,3,7,3,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,675,675
Precinct,6255601189,252,394,32,2,7,9,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,700,700
Precinct,6255601190,381,539,51,14,15,12,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1017,1017
Precinct,6255601191,553,493,51,6,16,7,6,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,1138
Precinct,6255601192,355,309,32,11,11,4,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,729,729
Precinct,6255601193,374,438,71,14,22,7,6,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,939,939
Precinct,6255601194,104,211,24,3,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,350,350
Precinct,6255601195,134,172,7,2,8,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328
Precinct,6255601196,36,41,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
Precinct,6255601197,13,31,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49
Precinct,6255601198,169,361,28,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,571
Precinct,6255601227,86,201,16,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,308
Precinct,6255601228,220,533,24,5,3,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,793,793
Precinct,6255601244,133,472,20,5,3,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,643
Precinct,7213001130,99,99,11,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214
Precinct,7213001140,226,198,16,6,7,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,459,459
Precinct,7213001141,305,286,36,15,13,4,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,664,664
Precinct,7213001199,200,340,32,5,5,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,590,590
Precinct,7213001200,22,87,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116
Precinct,7213001201,95,116,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225
Precinct,7213001202,148,172,16,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,347,347
Precinct,7213001203,135,137,15,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292
Precinct,7213001204,259,290,30,6,5,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,600,600
