,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
State,Colorado,1804352,1364607,52460,8986,8089,5061,2730,2515,2011,1035,762,636,614,572,568,495,379,355,354,196,175,24,4,0,3256980,3256980
County,Adams,134202,95657,3731,744,729,455,264,160,197,90,102,72,60,51,46,40,38,37,24,13,23,4,1,0,236740,236740
Precinct,4253001245,72,279,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,357,357
Precinct,4255601241,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
Precinct,4255601246,372,799,28,6,8,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1219,1219
Precinct,4255601247,187,699,17,1,2,3,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,916,916
Precinct,4255601248,212,723,14,2,5,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,963,963
Precinct,4255601249,49,282,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,337,337
Precinct,4255601251,271,841,29,4,1,1,4,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1157,1157
Precinct,6243101150,801,602,23,6,4,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,1445
Precinct,6243101151,687,581,24,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1298,1298
Precinct,6243101159,419,355,17,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,796
Precinct,6243101256,584,572,20,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,1186
Precinct,6243401075,279,297,16,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,599
Precinct,6243401076,657,504,15,4,2,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,1189
Precinct,6243401077,431,371,16,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,824,824
Precinct,6243401252,832,612,19,4,0,5,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1482,1482
Precinct,6245601071,416,381,26,2,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,834
Precinct,6245601072,330,383,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,730
Precinct,6245601073,544,557,15,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1123,1123
Precinct,6245601074,509,503,12,3,1,7,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1042,1042
Precinct,6245601160,232,317,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,554
Precinct,6245601259,353,322,6,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,687,687
