,,Democratic,Republican,Unaffiliated,Libertarian,Green,Unity Party of Colorado,American Constitution,Approval Voting,American Solidarity,Socialist Labor,No Party Affiliation,Independent,Unaffiliated/Republican,Democratic,Total Votes Cast,Total Ballots Cast
State,Colorado,1728159,1377441,35623,21439,17344,5149,3522,2196,910,905,30,15,10,2,3192745,3192745
County,Adams,124056,103024,2909,1403,1132,332,259,221,69,76,6,2,1,1,233491,233491
Precinct,4215601243,224,618,7,2,0,0,2,0,0,0,0,0,0,0,853,853
Precinct,4215601244,237,792,14,3,2,0,4,0,0,0,0,0,0,0,1052,1052
Precinct,4215601245,64,268,7,2,0,0,3,1,0,0,0,0,0,0,345,345
Precinct,4215601246,543,1031,20,13,5,1,2,2,0,0,0,0,0,0,1617,1617
Precinct,4215601247,179,671,12,10,1,0,0,0,0,0,0,0,0,0,873,873
Precinct,4215601248,193,787,11,1,2,0,0,1,0,0,0,0,0,0,995,995
Precinct,4215601249,43,287,0,1,1,0,0,0,0,0,0,0,0,0,332,332
Precinct,4215601251,319,967,14,11,2,0,4,1,0,0,0,0,0,0,1318,1318
Precinct,4283601267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct,4285601241,6,28,1,0,0,0,0,0,0,0,0,0,0,0,35,35
Precinct,4285601266,54,144,2,1,1,0,3,1,0,0,0,0,0,0,206,206
Precinct,6215601269,9,16,0,0,0,0,0,0,0,0,0,0,0,0,25,25
Precinct,6283601229,516,233,8,4,11,1,3,1,0,0,0,0,0,0,777,777
Precinct,6283601230,838,281,14,2,7,1,2,5,3,0,0,0,0,0,1153,1153
Precinct,6283601231,937,323,18,6,7,2,1,1,0,1,0,0,0,0,1296,1296
Precinct,6283601232,432,151,9,4,3,5,0,0,0,0,0,0,0,0,604,604
Precinct,6283601233,631,297,5,4,17,3,0,0,0,0,0,0,0,0,957,957
Precinct,6283601234,435,291,4,5,8,1,3,0,0,0,0,0,0,0,747,747
Precinct,6283601235,251,145,7,2,2,3,0,0,0,0,0,0,0,0,410,410
Precinct,6283601236,544,360,6,6,3,4,0,1,0,0,0,0,0,0,924,924
Precinct,6283601237,427,283,9,3,5,5,0,1,0,0,0,0,0,0,733,733
Precinct,6283601238,460,367,15,3,6,2,2,0,2,0,0,0,1,0,858,858
Precinct,6283601239,466,368,4,3,4,3,4,2,0,1,0,0,0,0,855,855
Precinct,6283601240,2441,1050,28,23,19,12,2,0,1,1,0,0,0,0,3577,3577
Precinct,6283601242,63,150,1,3,0,0,0,0,0,0,0,0,0,0,217,217
Precinct,6283601253,526,118,6,1,17,7,0,0,0,0,0,0,0,0,675,675
Precinct,6283601258,470,180,4,7,7,5,2,0,1,0,0,0,0,0,676,676
Precinct,6283601260,742,215,12,10,11,1,1,0,1,0,0,0,0,0,993,993
Precinct,7192401008,536,305,12,5,2,1,0,1,0,0,0,0,0,0,862,862
Precinct,7192401009,497,247,11,5,8,0,0,0,0,0,0,0,0,0,768,768
Precinct,8134801162,329,614,10,4,3,0,1,0,1,0,0,0,0,0,962,962
Precinct,8134801163,212,424,5,6,1,1,0,0,0,0,0,0,0,0,649,649
Precinct,8134801170,509,461,18,6,5,0,3,1,1,0,0,0,0,0,1004,1004
Precinct,8134801171,506,554,23,5,8,1,1,1,0,0,0,0,0,0,1099,1099
Precinct,8134801172,101,159,5,0,0,0,0,0,0,0,0,0,0,0,265,265
Precinct,8134801173,34,44,1,2,0,0,0,0,0,0,0,0,0,0,81,81
Precinct,8134801174,171,268,4,2,3,0,1,2,0,0,0,0,0,0,451,451
Precinct,8134801175,520,733,23,12,2,0,1,3,2,0,0,0,0,0,1296,1296
Precinct,8134801176,339,405,7,1,5,0,0,0,2,0,0,0,0,0,759,759
Precinct,8134801177,173,353,5,2,2,0,0,0,0,0,0,0,0,0,535,535
Precinct,8134801178,308,422,12,1,3,0,0,0,0,0,0,0,0,0,746,746
Precinct,8134801179,139,190,6,2,3,0,0,0,0,0,0,0,0,0,340,340
Precinct,8134801180,353,466,15,5,2,1,1,1,0,0,0,0,0,0,844,844
Precinct,8134801181,478,591,22,5,5,1,2,2,0,0,0,0,0,0,1106,1106
Precinct,8134801182,315,412,8,5,6,0,1,0,0,1,0,0,0,0,748,748
Precinct,8134801183,140,217,5,3,0,0,0,0,0,0,0,0,0,0,365,365
Precinct,8134801184,128,188,5,3,0,0,1,0,0,0,0,0,0,0,325,325
Precinct,8134801185,212,315,8,3,2,1,2,0,0,0,0,0,0,0,543,543
Precinct,8134801186,447,638,14,4,1,0,0,0,0,0,0,0,0,0,1104,1104
Precinct,8134801187,372,442,17,1,1,0,0,1,0,0,0,0,0,0,834,834
Precinct,8134801188,279,415,16,2,3,0,0,1,0,0,0,0,0,0,716,716
Precinct,8134801189,260,434,8,3,0,1,0,0,0,0,0,0,0,0,706,706
Precinct,8134801190,404,558,10,4,3,3,2,0,0,0,0,0,0,0,984,984
Precinct,8134801191,551,640,16,6,6,0,3,1,0,2,0,0,0,0,1225,1225
Precinct,8134801192,336,337,11,1,2,0,1,0,0,0,0,0,0,0,688,688
Precinct,8134801193,426,513,17,7,5,3,1,3,0,0,0,0,0,0,975,975
Precinct,8134801194,134,211,5,5,2,0,0,0,0,0,0,0,0,0,357,357
Precinct,8134801195,219,218,5,3,0,4,1,0,0,0,0,0,0,0,450,450
Precinct,8134801196,222,273,8,4,1,0,1,1,0,0,0,0,0,0,510,510
Precinct,8134801197,148,152,5,4,2,1,0,0,0,0,0,0,0,0,312,312
