,,Democratic,Republican,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,2,196300,149645,345945,345945
County,Boulder,77589,25433,103022,103022
Precinct,2161307900,314,62,376,376
Precinct,2161307901,302,125,427,427
Precinct,2161307902,141,45,186,186
Precinct,2163307100,464,333,797,797
Precinct,2163307101,518,284,802,802
Precinct,2163307102,319,147,466,466
Precinct,2163307103,438,351,789,789
Precinct,2163307104,402,300,702,702
Precinct,2163307105,171,98,269,269
Precinct,2163307106,459,251,710,710
Precinct,2163307107,265,96,361,361
Precinct,2171207200,292,169,461,461
Precinct,2171207201,360,138,498,498
Precinct,2171207202,474,270,744,744
Precinct,2171207203,555,223,778,778
Precinct,2171207204,489,231,720,720
Precinct,2171207205,501,198,699,699
Precinct,2171207206,321,99,420,420
Precinct,2171207207,558,148,706,706
Precinct,2171207208,681,148,829,829
Precinct,2171207209,342,156,498,498
Precinct,2171207210,492,185,677,677
Precinct,2171207211,540,229,769,769
Precinct,2171207212,579,170,749,749
Precinct,2171207213,864,390,1254,1254
Precinct,2171207214,689,275,964,964
Precinct,2171207300,487,330,817,817
Precinct,2171207301,652,233,885,885
Precinct,2171207302,530,210,740,740
Precinct,2171207303,415,127,542,542
Precinct,2171207304,482,166,648,648
Precinct,2171207305,549,185,734,734
Precinct,2171207306,569,186,755,755
Precinct,2171207307,363,156,519,519
Precinct,2171207308,430,142,572,572
Precinct,2171207309,560,230,790,790
Precinct,2171207310,623,226,849,849
Precinct,2171207311,433,141,574,574
Precinct,2171207312,446,272,718,718
Precinct,2171207313,666,297,963,963
Precinct,2171207314,595,218,813,813
Precinct,2171207315,396,180,576,576
Precinct,2171207316,501,395,896,896
Precinct,2171207407,163,178,341,341
Precinct,2173307400,49,48,97,97
Precinct,2173307408,451,359,810,810
Precinct,2173307409,564,369,933,933
Precinct,2173307410,424,381,805,805
Precinct,2173307411,628,511,1139,1139
Precinct,2173307412,626,427,1053,1053
Precinct,2181007500,509,120,629,629
Precinct,2181007501,459,255,714,714
Precinct,2181007502,430,332,762,762
Precinct,2181007503,826,344,1170,1170
Precinct,2181007504,393,157,550,550
Precinct,2181007800,385,248,633,633
Precinct,2181007801,322,86,408,408
Precinct,2181007802,353,61,414,414
Precinct,2181007803,486,78,564,564
Precinct,2181007804,707,259,966,966
Precinct,2181007805,256,101,357,357
Precinct,2181007806,574,142,716,716
Precinct,2181007807,731,102,833,833
Precinct,2181007808,1059,110,1169,1169
Precinct,2181007809,697,89,786,786
Precinct,2181007810,637,119,756,756
Precinct,2181007811,805,181,986,986
Precinct,2181007812,556,118,674,674
Precinct,2181007813,407,121,528,528
Precinct,2181007814,654,98,752,752
Precinct,2181007815,401,39,440,440
Precinct,2181007816,627,90,717,717
Precinct,2181007817,502,119,621,621
Precinct,2181007818,679,118,797,797
Precinct,2181007819,577,62,639,639
Precinct,2181007820,481,56,537,537
Precinct,2181007821,670,69,739,739
Precinct,2181007822,502,71,573,573
Precinct,2181007823,801,131,932,932
Precinct,2181007824,623,78,701,701
Precinct,2181007825,373,54,427,427
Precinct,2181007826,504,72,576,576
Precinct,2181007827,506,60,566,566
