,,Democratic,Republican,Independent,Libertarian,Green,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,2,259608,144901,16356,9749,151,430765,430765
County,Boulder,100066,22169,3895,2352,120,128602,128602
Precinct,2161307900,366,41,9,3,0,419,419
Precinct,2161307901,344,137,23,21,0,525,525
Precinct,2161307902,172,42,9,5,1,229,229
Precinct,2163307100,723,337,38,21,0,1119,1119
Precinct,2163307101,701,286,39,28,0,1054,1054
Precinct,2163307102,503,151,38,22,0,714,714
Precinct,2163307103,598,277,39,25,1,940,940
Precinct,2163307104,613,261,24,23,0,921,921
Precinct,2163307105,265,80,16,14,0,375,375
Precinct,2163307106,628,180,22,21,0,851,851
Precinct,2163307107,470,143,16,5,0,634,634
Precinct,2171207200,362,144,13,8,0,527,527
Precinct,2171207201,419,108,25,10,0,562,562
Precinct,2171207202,631,230,32,12,0,905,905
Precinct,2171207203,656,164,33,21,0,874,874
Precinct,2171207204,613,164,26,10,0,813,813
Precinct,2171207205,632,135,26,17,0,810,810
Precinct,2171207206,394,81,11,4,1,491,491
Precinct,2171207207,635,145,21,19,1,821,821
Precinct,2171207208,738,135,32,23,0,928,928
Precinct,2171207209,391,127,11,7,0,536,536
Precinct,2171207210,611,161,17,12,0,801,801
Precinct,2171207211,627,207,35,9,1,879,879
Precinct,2171207212,845,195,32,17,0,1089,1089
Precinct,2171207213,839,187,30,12,0,1068,1068
Precinct,2171207214,794,219,39,18,1,1071,1071
Precinct,2171207215,531,169,33,15,1,749,749
Precinct,2171207300,795,345,39,41,1,1221,1221
Precinct,2171207301,1039,217,61,17,1,1335,1335
Precinct,2171207302,942,266,45,24,0,1277,1277
Precinct,2171207303,565,119,31,14,1,730,730
Precinct,2171207304,585,158,24,8,0,775,775
Precinct,2171207305,670,140,27,24,2,863,863
Precinct,2171207306,727,163,47,16,0,953,953
Precinct,2171207307,439,111,28,7,0,585,585
Precinct,2171207308,611,157,30,13,1,812,812
Precinct,2171207309,674,175,48,20,0,917,917
Precinct,2171207310,830,177,49,17,0,1073,1073
Precinct,2171207311,535,104,22,12,0,673,673
Precinct,2171207312,585,217,26,9,2,839,839
Precinct,2171207313,825,218,39,15,0,1097,1097
Precinct,2171207314,957,196,32,19,0,1204,1204
Precinct,2171207315,494,172,13,9,0,688,688
Precinct,2171207316,668,311,21,17,1,1018,1018
Precinct,2171207407,187,166,14,6,0,373,373
Precinct,2173307400,54,49,5,3,0,111,111
Precinct,2173307408,589,372,34,21,1,1017,1017
Precinct,2173307409,789,389,48,39,0,1265,1265
Precinct,2173307410,549,369,24,12,0,954,954
Precinct,2173307411,643,330,42,20,1,1036,1036
Precinct,2173307412,907,421,49,33,0,1410,1410
Precinct,2173307413,630,306,55,26,0,1017,1017
Precinct,2181007500,617,89,28,21,0,755,755
Precinct,2181007501,560,210,15,5,0,790,790
Precinct,2181007502,569,285,11,11,0,876,876
Precinct,2181007503,974,269,43,22,0,1308,1308
Precinct,2181007504,488,130,16,11,1,646,646
Precinct,2181007800,526,180,7,15,0,728,728
Precinct,2181007801,555,74,20,15,3,667,667
Precinct,2181007802,617,111,30,28,0,786,786
Precinct,2181007803,666,53,28,29,1,777,777
Precinct,2181007804,879,184,26,10,1,1100,1100
Precinct,2181007805,329,69,6,10,3,417,417
Precinct,2181007806,819,129,17,21,3,989,989
Precinct,2181007807,858,97,22,15,1,993,993
Precinct,2181007808,1364,102,49,22,3,1540,1540
