,,Democratic,Republican,Libertarian,Unity Party of Colorado,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,2,316925,182547,13657,2534,515663,515663
County,Boulder,114509,26505,2709,551,144274,144274
Precinct,2161307900,397,56,5,1,459,459
Precinct,2161307901,401,196,20,2,619,619
Precinct,2161307902,215,50,8,0,273,273
Precinct,2163307100,919,402,18,1,1340,1340
Precinct,2163307101,888,315,28,9,1240,1240
Precinct,2163307102,678,241,41,5,965,965
Precinct,2163307103,761,294,18,3,1076,1076
Precinct,2163307104,716,298,8,5,1027,1027
Precinct,2163307105,315,93,17,0,425,425
Precinct,2163307106,745,216,14,1,976,976
Precinct,2163307107,685,219,20,0,924,924
Precinct,2171207200,434,155,8,1,598,598
Precinct,2171207201,502,122,8,3,635,635
Precinct,2171207202,738,271,11,2,1022,1022
Precinct,2171207203,749,176,18,1,944,944
Precinct,2171207204,712,185,21,1,919,919
Precinct,2171207205,703,160,13,3,879,879
Precinct,2171207206,449,83,4,0,536,536
Precinct,2171207207,727,160,20,3,910,910
Precinct,2171207208,863,145,10,2,1020,1020
Precinct,2171207209,463,119,2,0,584,584
Precinct,2171207210,708,148,17,3,876,876
Precinct,2171207211,725,219,16,2,962,962
Precinct,2171207212,1030,245,30,8,1313,1313
Precinct,2171207213,1035,236,10,0,1281,1281
Precinct,2171207214,904,220,16,5,1145,1145
Precinct,2171207215,577,205,17,3,802,802
Precinct,2171207300,1081,414,40,5,1540,1540
Precinct,2171207301,1118,246,37,9,1410,1410
Precinct,2171207302,1314,373,47,3,1737,1737
Precinct,2171207303,663,139,20,7,829,829
Precinct,2171207304,696,164,15,6,881,881
Precinct,2171207305,771,186,23,7,987,987
Precinct,2171207306,854,191,27,1,1073,1073
Precinct,2171207307,789,215,29,7,1040,1040
Precinct,2171207308,746,175,22,10,953,953
Precinct,2171207309,810,195,27,3,1035,1035
Precinct,2171207310,1048,262,17,6,1333,1333
Precinct,2171207311,581,141,14,6,742,742
Precinct,2171207312,698,226,16,1,941,941
Precinct,2171207313,939,261,14,7,1221,1221
Precinct,2171207314,1108,255,11,1,1375,1375
Precinct,2171207315,580,176,8,1,765,765
Precinct,2171207316,769,356,13,2,1140,1140
Precinct,2171207407,221,190,10,2,423,423
Precinct,2173307400,66,50,0,0,116,116
Precinct,2173307408,733,464,36,4,1237,1237
Precinct,2173307409,988,524,52,6,1570,1570
Precinct,2173307410,669,407,19,2,1097,1097
Precinct,2173307411,848,397,27,3,1275,1275
Precinct,2173307412,789,362,33,8,1192,1192
Precinct,2173307413,796,407,42,0,1245,1245
Precinct,2173307414,673,383,31,1,1088,1088
Precinct,2181007500,712,91,16,6,825,825
Precinct,2181007501,631,218,7,2,858,858
Precinct,2181007502,665,286,13,0,964,964
Precinct,2181007503,1034,302,29,6,1371,1371
Precinct,2181007504,520,152,13,3,688,688
Precinct,2181007800,620,187,10,2,819,819
Precinct,2181007801,643,91,22,6,762,762
Precinct,2181007802,738,121,28,2,889,889
Precinct,2181007803,790,90,22,4,906,906
Precinct,2181007804,935,200,15,6,1156,1156
Precinct,2181007805,366,75,5,3,449,449
Precinct,2181007806,966,173,25,1,1165,1165
Precinct,2181007807,938,112,13,4,1067,1067
Precinct,2181007808,1390,136,20,9,1555,1555
Precinct,2181007809,1030,104,12,4,1150,1150
Precinct,2181007810,821,124,9,2,956,956
Precinct,2181007811,1027,180,10,4,1221,1221
Precinct,2181007812,981,138,25,1,1145,1145
Precinct,2181007813,653,157,17,4,831,831
Precinct,2181007814,925,90,23,7,1045,1045
Precinct,2181007815,643,82,18,5,748,748
Precinct,2181007816,934,98,29,5,1066,1066
Precinct,2181007817,645,108,6,0,759,759
Precinct,2181007818,870,93,12,3,978,978
Precinct,2181007819,728,77,15,3,823,823
Precinct,2181007820,580,66,12,4,662,662
Precinct,2181007821,863,69,20,8,960,960
Precinct,2181007822,1307,171,43,14,1535,1535
Precinct,2181007823,934,143,18,7,1102,1102
Precinct,2181007824,859,105,18,7,989,989
Precinct,2181007825,524,57,7,5,593,593
Precinct,2181007826,722,62,9,2,795,795
Precinct,2181007827,718,70,12,2,802,802
Precinct,2181007828,573,62,10,0,645,645
Precinct,2181007829,527,57,17,2,603,603
Precinct,2181007830,466,56,11,2,535,535
Precinct,2181007831,560,55,11,5,631,631
Precinct,2181007832,237,40,2,7,286,286
Precinct,2181007833,401,62,9,3,475,475
Precinct,2181007834,195,60,9,6,270,270
