,,Republican,Democratic,Libertarian,Unaffiliated,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,4,185292,83727,9472,8016,286507,286507
County,Adams,2221,512,120,117,2970,2970
Precinct,4253001245,188,32,9,8,237,237
Precinct,4255601241,27,2,1,0,30,30
Precinct,4255601246,473,118,30,46,667,667
Precinct,4255601247,244,48,13,9,314,314
Precinct,4255601248,1095,273,54,46,1468,1468
Precinct,4255601249,15,0,0,0,15,15
Precinct,4255601250,166,39,13,8,226,226
Precinct,4255601251,13,0,0,0,13,13
County,Arapahoe,2375,571,118,114,3178,3178
Precinct,4283603348,0,0,0,0,0,0
Precinct,4283603350,0,0,0,0,0,0
Precinct,4293603358,0,0,0,0,0,0
Precinct,4293603361,0,0,0,0,0,0
Precinct,4295603357,0,0,0,0,0,0
Precinct,4295603359,0,0,0,0,0,0
Precinct,4295603362,989,253,50,37,1329,1329
Precinct,4295603363,522,123,24,19,688,688
Precinct,4295603364,568,142,28,43,781,781
Precinct,4295603365,296,53,16,15,380,380
County,Baca,1356,321,61,59,1797,1797
Precinct,4356405001,185,33,2,5,225,225
Precinct,4356405002,198,38,8,5,249,249
Precinct,4356405003,106,22,9,9,146,146
Precinct,4356405004,198,38,11,14,261,261
Precinct,4356405005,88,16,5,1,110,110
Precinct,4356405006,97,23,8,9,137,137
Precinct,4356405007,211,68,8,8,295,295
Precinct,4356405008,209,77,10,7,303,303
Precinct,4356405009,64,6,0,1,71,71
County,Bent,974,487,45,59,1565,1565
Precinct,4356406001,180,39,6,9,234,234
Precinct,4356406002,310,63,6,8,387,387
Precinct,4356406003,133,178,21,10,342,342
Precinct,4356406004,121,133,8,9,271,271
Precinct,4356406005,230,74,4,23,331,331
County,Boulder,15848,17823,1495,1051,36217,36217
Precinct,4171107616,321,393,29,21,764,764
Precinct,4171107617,425,625,53,21,1124,1124
Precinct,4171107618,376,439,30,15,860,860
Precinct,4171107619,220,461,35,16,732,732
Precinct,4171107620,363,525,40,26,954,954
Precinct,4171107621,204,460,22,24,710,710
Precinct,4171107622,131,283,22,17,453,453
Precinct,4171107623,166,479,36,18,699,699
Precinct,4171107624,170,351,21,8,550,550
Precinct,4171107625,129,442,24,13,608,608
Precinct,4171107626,280,402,31,30,743,743
Precinct,4171107627,186,225,19,17,447,447
Precinct,4171107628,239,292,25,16,572,572
Precinct,4171107629,111,208,22,14,355,355
Precinct,4171107630,180,315,21,15,531,531
Precinct,4171107631,136,183,19,13,351,351
Precinct,4171107632,397,327,35,26,785,785
Precinct,4171107633,155,211,35,17,418,418
Precinct,4171107634,194,249,23,17,483,483
Precinct,4171107635,324,232,20,20,596,596
Precinct,4171107636,402,345,33,34,814,814
Precinct,4171107637,323,382,46,18,769,769
Precinct,4171107638,417,317,24,18,776,776
Precinct,4171107639,338,290,22,20,670,670
Precinct,4171107640,298,259,24,20,601,601
Precinct,4171107641,269,229,19,12,529,529
Precinct,4171107642,300,389,42,17,748,748
Precinct,4171107643,183,217,28,13,441,441
Precinct,4171107644,136,243,23,22,424,424
Precinct,4171107645,276,262,18,16,572,572
Precinct,4171107646,372,243,14,14,643,643
Precinct,4171107647,385,308,34,16,743,743
Precinct,4171107648,317,208,22,26,573,573
Precinct,4171107649,191,185,21,9,406,406
Precinct,4171107650,224,200,19,24,467,467
Precinct,4171107651,283,297,30,19,629,629
Precinct,4171107652,256,252,29,28,565,565
Precinct,4171107653,288,242,10,11,551,551
Precinct,4171107654,385,420,37,17,859,859
Precinct,4171207600,602,385,38,20,1045,1045
Precinct,4171207601,429,434,27,31,921,921
Precinct,4171207602,296,201,19,16,532,532
Precinct,4171207603,430,393,35,26,884,884
Precinct,4171207604,388,259,31,17,695,695
Precinct,4171207605,291,286,24,21,622,622
Precinct,4171207606,199,241,23,27,490,490
Precinct,4171207607,289,326,16,16,647,647
Precinct,4171207608,170,274,16,19,479,479
Precinct,4171207609,74,162,12,9,257,257
Precinct,4171207610,240,437,39,22,738,738
Precinct,4171207611,254,317,25,20,616,616
Precinct,4171207612,261,301,28,16,606,606
Precinct,4171207613,237,277,18,16,548,548
Precinct,4171207614,416,466,31,16,929,929
Precinct,4171207615,227,311,16,5,559,559
Precinct,4181107706,57,76,3,8,144,144
Precinct,4181107707,298,141,22,14,475,475
Precinct,4181107708,340,146,15,14,515,515
County,Cheyenne,850,101,23,39,1013,1013
Precinct,4016509001,104,11,2,6,123,123
Precinct,4016509002,230,24,7,13,274,274
Precinct,4016509003,282,29,11,12,334,334
Precinct,4016509004,184,28,3,6,221,221
Precinct,4016509005,50,9,0,2,61,61
County,Crowley,902,327,31,62,1322,1322
Precinct,4356413001,187,62,8,15,272,272
Precinct,4356413002,152,55,6,14,227,227
Precinct,4356413003,133,51,1,4,189,189
Precinct,4356413004,156,37,7,13,213,213
Precinct,4356413005,145,62,6,7,220,220
Precinct,4356413006,129,60,3,9,201,201
County,Douglas,59935,24289,3370,1714,89308,89308
Precinct,4043918106,142,40,8,1,191,191
Precinct,4043918107,379,153,17,9,558,558
Precinct,4043918306,549,169,24,6,748,748
Precinct,4043918317,396,136,22,6,560,560
Precinct,4043918332,940,334,56,27,1357,1357
Precinct,4043918345,625,169,19,18,831,831
Precinct,4043918346,524,196,20,13,753,753
Precinct,4043918401,702,226,27,10,965,965
Precinct,4043918402,297,103,5,6,411,411
Precinct,4043918403,111,43,7,6,167,167
Precinct,4043918404,782,317,48,8,1155,1155
Precinct,4043918405,723,246,28,25,1022,1022
Precinct,4043918406,419,105,10,12,546,546
Precinct,4043918508,932,256,41,18,1247,1247
Precinct,4043918511,576,169,18,7,770,770
Precinct,4043918512,704,164,29,15,912,912
Precinct,4044418302,529,286,49,23,887,887
Precinct,4044418303,739,416,89,56,1300,1300
Precinct,4044418304,438,186,37,17,678,678
Precinct,4044418309,527,254,26,23,830,830
Precinct,4044418315,698,338,42,31,1109,1109
Precinct,4044418316,717,371,48,46,1182,1182
Precinct,4044418318,576,200,22,15,813,813
Precinct,4044418319,403,193,26,19,641,641
Precinct,4044418320,419,198,37,16,670,670
Precinct,4044418321,855,412,44,29,1340,1340
Precinct,4044418322,552,266,42,21,881,881
Precinct,4044418323,434,177,19,21,651,651
Precinct,4044418324,625,264,47,28,964,964
Precinct,4044418325,450,175,18,14,657,657
Precinct,4044418326,853,389,55,11,1308,1308
Precinct,4044418327,764,305,43,27,1139,1139
Precinct,4044418328,833,370,50,24,1277,1277
Precinct,4044418329,890,308,41,23,1262,1262
Precinct,4044418330,703,249,26,17,995,995
Precinct,4044418331,682,261,22,12,977,977
Precinct,4044418334,650,343,59,35,1087,1087
Precinct,4044518108,459,182,25,12,678,678
Precinct,4044518109,652,309,41,20,1022,1022
Precinct,4044518110,359,167,29,13,568,568
Precinct,4044518111,975,389,60,18,1442,1442
Precinct,4044518112,786,367,78,20,1251,1251
Precinct,4044518113,960,415,95,28,1498,1498
Precinct,4044518114,1243,425,91,43,1802,1802
Precinct,4044518261,780,339,17,6,1142,1142
Precinct,4044518262,659,296,23,14,992,992
Precinct,4044518263,1112,291,25,9,1437,1437
Precinct,4044518264,857,310,30,19,1216,1216
Precinct,4044518333,502,124,21,12,659,659
Precinct,4044518335,338,159,17,9,523,523
Precinct,4044518336,625,294,22,16,957,957
Precinct,4044518337,477,203,27,17,724,724
Precinct,4044518338,939,283,41,25,1288,1288
Precinct,4044518339,885,300,43,21,1249,1249
Precinct,4044518340,759,257,41,9,1066,1066
Precinct,4044518341,660,265,24,17,966,966
Precinct,4044518342,737,305,30,13,1085,1085
Precinct,4044518343,564,210,34,18,826,826
Precinct,4044518344,897,296,50,17,1260,1260
Precinct,4044518347,302,149,35,13,499,499
Precinct,4044518348,788,309,53,21,1171,1171
Precinct,4044518349,329,117,16,9,471,471
Precinct,4044518501,807,348,58,27,1240,1240
Precinct,4044518502,530,256,39,19,844,844
Precinct,4044518503,600,268,58,37,963,963
Precinct,4044518504,703,251,56,16,1026,1026
Precinct,4044518505,464,193,57,21,735,735
Precinct,4044518506,805,333,70,34,1242,1242
Precinct,4044518507,727,224,52,19,1022,1022
Precinct,4044518509,652,209,30,14,905,905
Precinct,4044518510,702,193,42,9,946,946
Precinct,4303918101,543,184,25,12,764,764
Precinct,4303918102,841,450,60,41,1392,1392
Precinct,4303918103,708,413,73,32,1226,1226
Precinct,4303918104,305,92,16,9,422,422
Precinct,4303918105,846,485,38,25,1394,1394
Precinct,4304418206,433,228,27,23,711,711
Precinct,4304418207,403,281,39,16,739,739
Precinct,4304418208,209,196,32,15,452,452
Precinct,4304418232,482,256,31,15,784,784
Precinct,4304418233,792,252,11,9,1064,1064
Precinct,4304418245,935,382,36,24,1377,1377
Precinct,4304418257,1305,565,59,31,1960,1960
Precinct,4304418301,525,307,35,26,893,893
Precinct,4304418307,528,231,34,18,811,811
Precinct,4304418308,591,318,34,11,954,954
Precinct,4304418311,402,200,25,11,638,638
Precinct,4304418312,767,333,35,18,1153,1153
Precinct,4304418313,470,219,15,10,714,714
Precinct,4304418314,468,176,22,11,677,677
Precinct,4304518258,787,258,21,13,1079,1079
Precinct,4304518259,712,252,18,9,991,991
Precinct,4304518260,1111,388,33,25,1557,1557
County,Elbert,9214,2152,437,462,12265,12265
Precinct,4016420001,319,82,17,28,446,446
Precinct,4016420002,969,255,46,62,1332,1332
Precinct,4016420003,635,151,32,28,846,846
Precinct,4016420004,750,195,32,24,1001,1001
Precinct,4016420005,373,69,15,11,468,468
Precinct,4016420006,779,189,40,45,1053,1053
Precinct,4016420007,696,188,36,26,946,946
