,,Republican,Democratic,Libertarian,Republican,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,4,248230,123642,18761,2,390635,390635
County,Adams,2978,739,202,0,3919,3919
Precinct,4253001245,249,59,10,0,318,318
Precinct,4255601241,30,1,0,0,31,31
Precinct,4255601246,635,187,64,0,886,886
Precinct,4255601247,625,137,32,0,794,794
Precinct,4255601248,1190,312,86,0,1588,1588
Precinct,4255601249,249,43,10,0,302,302
County,Arapahoe,3218,760,194,0,4172,4172
Precinct,4283603348,0,0,0,0,0,0
Precinct,4283603350,0,0,0,0,0,0
Precinct,4293603358,14,5,2,0,21,21
Precinct,4293603361,0,0,0,0,0,0
Precinct,4295603357,0,0,0,0,0,0
Precinct,4295603359,0,0,0,0,0,0
Precinct,4295603362,717,192,38,0,947,947
Precinct,4295603363,713,166,37,0,916,916
Precinct,4295603364,817,189,58,0,1064,1064
Precinct,4295603365,397,57,32,0,486,486
Precinct,4295603366,560,151,27,0,738,738
County,Baca,1701,298,87,0,2086,2086
Precinct,4356405001,229,35,4,0,268,268
Precinct,4356405002,243,34,7,0,284,284
Precinct,4356405003,131,20,12,0,163,163
Precinct,4356405004,245,42,16,0,303,303
Precinct,4356405005,95,16,9,0,120,120
Precinct,4356405006,123,16,2,0,141,141
Precinct,4356405007,287,54,19,0,360,360
Precinct,4356405008,281,73,16,0,370,370
Precinct,4356405009,67,8,2,0,77,77
County,Bent,1211,627,49,0,1887,1887
Precinct,4356406001,235,68,9,0,312,312
Precinct,4356406002,347,78,9,0,434,434
Precinct,4356406003,190,211,17,0,418,418
Precinct,4356406004,160,165,11,0,336,336
Precinct,4356406005,279,105,3,0,387,387
County,Boulder,19774,25600,2618,0,47992,47992
Precinct,4171107616,380,519,40,0,939,939
Precinct,4171107617,547,856,84,0,1487,1487
Precinct,4171107618,540,726,73,0,1339,1339
Precinct,4171107619,329,780,72,0,1181,1181
Precinct,4171107620,444,674,71,0,1189,1189
Precinct,4171107621,266,602,48,0,916,916
Precinct,4171107622,152,390,41,0,583,583
Precinct,4171107623,240,660,64,0,964,964
Precinct,4171107624,213,497,35,0,745,745
Precinct,4171107625,161,535,34,0,730,730
Precinct,4171107626,342,536,57,0,935,935
Precinct,4171107627,237,308,54,0,599,599
Precinct,4171107628,290,442,38,0,770,770
Precinct,4171107629,146,314,41,0,501,501
Precinct,4171107630,236,425,47,0,708,708
Precinct,4171107631,175,282,40,0,497,497
Precinct,4171107632,485,485,68,0,1038,1038
Precinct,4171107633,230,377,52,0,659,659
Precinct,4171107634,238,345,40,0,623,623
Precinct,4171107635,366,304,29,0,699,699
Precinct,4171107636,464,464,31,0,959,959
Precinct,4171107637,405,558,70,0,1033,1033
Precinct,4171107638,455,379,42,0,876,876
Precinct,4171107639,373,386,40,0,799,799
Precinct,4171107640,339,347,36,0,722,722
Precinct,4171107641,316,334,40,0,690,690
Precinct,4171107642,412,542,53,0,1007,1007
Precinct,4171107643,258,307,47,0,612,612
Precinct,4171107644,207,393,35,0,635,635
Precinct,4171107645,315,371,29,0,715,715
Precinct,4171107646,418,350,28,0,796,796
Precinct,4171107647,554,533,48,0,1135,1135
Precinct,4171107648,410,310,45,0,765,765
Precinct,4171107649,243,303,25,0,571,571
Precinct,4171107650,315,326,44,0,685,685
Precinct,4171107651,331,415,59,0,805,805
Precinct,4171107652,334,411,60,0,805,805
Precinct,4171107653,341,289,20,0,650,650
Precinct,4171107654,455,587,62,0,1104,1104
