,,Democratic,Republican,Libertarian,Colorado Center,Total Votes Cast,Total Ballots Cast
U.S. Congressperson District,8,114377,112745,9280,99,236501,236501
County,Adams,78113,57856,5684,61,141714,141714
Precinct,8134801162,260,505,17,0,782,782
Precinct,8134801163,135,341,11,0,487,487
Precinct,8134801170,371,281,46,0,698,698
Precinct,8134801171,395,368,46,0,809,809
Precinct,8134801172,65,86,12,0,163,163
Precinct,8134801173,30,39,0,0,69,69
Precinct,8134801174,116,209,15,0,340,340
Precinct,8134801175,345,463,42,0,850,850
Precinct,8134801176,166,217,18,0,401,401
Precinct,8134801177,135,227,13,0,375,375
Precinct,8134801178,130,139,7,0,276,276
Precinct,8134801179,96,109,14,0,219,219
Precinct,8134801180,247,361,28,0,636,636
Precinct,8134801181,358,378,38,0,774,774
Precinct,8134801182,215,259,22,0,496,496
Precinct,8134801183,85,145,17,0,247,247
Precinct,8134801184,94,123,12,0,229,229
Precinct,8134801185,160,244,8,0,412,412
Precinct,8134801186,310,418,26,2,756,756
Precinct,8134801187,242,316,36,0,594,594
Precinct,8134801188,218,314,22,0,554,554
Precinct,8134801189,224,333,16,0,573,573
Precinct,8134801190,323,375,30,0,728,728
Precinct,8134801191,406,371,51,0,828,828
Precinct,8134801192,234,183,38,0,455,455
Precinct,8134801193,297,281,30,0,608,608
Precinct,8134801194,100,142,14,0,256,256
Precinct,8134801195,159,168,9,0,336,336
Precinct,8134801196,110,133,3,0,246,246
Precinct,8134801197,86,72,5,0,163,163
Precinct,8134801198,281,435,27,0,743,743
Precinct,8134801227,87,172,10,0,269,269
Precinct,8213201003,0,0,0,0,0,0
Precinct,8213201117,519,277,47,0,843,843
Precinct,8213201118,301,168,33,0,502,502
Precinct,8213201119,410,192,49,1,652,652
Precinct,8213201120,448,195,25,1,669,669
Precinct,8213201121,336,209,28,0,573,573
Precinct,8213201122,215,122,18,0,355,355
Precinct,8213201123,344,174,42,0,560,560
Precinct,8213201124,382,144,32,0,558,558
Precinct,8213201125,253,138,27,0,418,418
Precinct,8213201126,399,243,40,0,682,682
Precinct,8213201127,278,160,32,0,470,470
Precinct,8213201128,325,170,23,0,518,518
Precinct,8213201129,339,207,33,0,579,579
Precinct,8213201140,214,134,12,0,360,360
Precinct,8213201141,427,288,42,0,757,757
Precinct,8213201199,194,256,17,0,467,467
Precinct,8213201200,19,49,4,0,72,72
Precinct,8213201201,225,193,28,2,448,448
Precinct,8213201202,187,189,8,0,384,384
Precinct,8213201203,284,289,22,0,595,595
Precinct,8213201204,210,165,15,0,390,390
Precinct,8213201205,370,394,31,0,795,795
Precinct,8213201206,356,430,39,0,825,825
Precinct,8213201207,217,197,20,0,434,434
Precinct,8213201208,151,113,11,0,275,275
